,packageId,lastModified,packageLink,docClass,title,congress,dateIssued,summary_url,modsLink,zipLink,text_file
0,CHRG-115shrg40253,2021-02-22T18:02:59Z,https://api.govinfo.gov/packages/CHRG-115shrg40253/summary,SHRG,Attacks on U.S. Diplomats in Cuba: Response and Oversight,115,2018-01-09T12:00:00Z,https://api.govinfo.gov/packages/CHRG-115shrg40253/summary?api_key=mHFrk52tb3tnJpM4Vn5M1Ydi4Sckac1ZrV5StAG5,https://api.govinfo.gov/packages/CHRG-115shrg40253/mods,https://api.govinfo.gov/packages/CHRG-115shrg40253/zip,textfiles/CHRG-115shrg40253.txt
1,CHRG-115shrg36191,2021-02-22T18:09:12Z,https://api.govinfo.gov/packages/CHRG-115shrg36191/summary,SHRG,Nomination Hearings of The 115th Congress-Second Session,115,2018-01-03T12:00:00Z,https://api.govinfo.gov/packages/CHRG-115shrg36191/summary?api_key=mHFrk52tb3tnJpM4Vn5M1Ydi4Sckac1ZrV5StAG5,https://api.govinfo.gov/packages/CHRG-115shrg36191/mods,https://api.govinfo.gov/packages/CHRG-115shrg36191/zip,textfiles/CHRG-115shrg36191.txt
2,CHRG-115shrg34341,2021-02-22T18:16:56Z,https://api.govinfo.gov/packages/CHRG-115shrg34341/summary,SHRG,Nomination of Alex Michael Azar II,115,2018-01-09T12:00:00Z,https://api.govinfo.gov/packages/CHRG-115shrg34341/summary?api_key=mHFrk52tb3tnJpM4Vn5M1Ydi4Sckac1ZrV5StAG5,https://api.govinfo.gov/packages/CHRG-115shrg34341/mods,https://api.govinfo.gov/packages/CHRG-115shrg34341/zip,textfiles/CHRG-115shrg34341.txt
3,CHRG-115shrg28675,2021-02-22T17:56:03Z,https://api.govinfo.gov/packages/CHRG-115shrg28675/summary,SHRG,Combating Money Laundering and Other Forms of Illicit Finance: Opportunities to Reform and Strengthen Bank Secrecy Act Enforcement,115,2018-01-09T12:00:00Z,https://api.govinfo.gov/packages/CHRG-115shrg28675/summary?api_key=mHFrk52tb3tnJpM4Vn5M1Ydi4Sckac1ZrV5StAG5,https://api.govinfo.gov/packages/CHRG-115shrg28675/mods,https://api.govinfo.gov/packages/CHRG-115shrg28675/zip,textfiles/CHRG-115shrg28675.txt
4,CHRG-115shrg28300,2021-02-22T18:02:55Z,https://api.govinfo.gov/packages/CHRG-115shrg28300/summary,SHRG,The Opioid Crisis: An Examination of How We Got Here and How We Move Forward,115,2018-01-09T12:00:00Z,https://api.govinfo.gov/packages/CHRG-115shrg28300/summary?api_key=mHFrk52tb3tnJpM4Vn5M1Ydi4Sckac1ZrV5StAG5,https://api.govinfo.gov/packages/CHRG-115shrg28300/mods,https://api.govinfo.gov/packages/CHRG-115shrg28300/zip,textfiles/CHRG-115shrg28300.txt
5,CHRG-115hhrg31324,2021-02-22T17:54:33Z,https://api.govinfo.gov/packages/CHRG-115hhrg31324/summary,HHRG,Legislative Proposals for a More More Efficient Federal Financial Regulatory Regime: Part III,115,2018-01-09T12:00:00Z,https://api.govinfo.gov/packages/CHRG-115hhrg31324/summary?api_key=mHFrk52tb3tnJpM4Vn5M1Ydi4Sckac1ZrV5StAG5,https://api.govinfo.gov/packages/CHRG-115hhrg31324/mods,https://api.govinfo.gov/packages/CHRG-115hhrg31324/zip,textfiles/CHRG-115hhrg31324.txt
6,CHRG-115hhrg31323,2021-02-22T18:23:50Z,https://api.govinfo.gov/packages/CHRG-115hhrg31323/summary,HHRG,Evaluating Cfius: Challenges Posed by a Changing Global Economy,115,2018-01-09T12:00:00Z,https://api.govinfo.gov/packages/CHRG-115hhrg31323/summary?api_key=mHFrk52tb3tnJpM4Vn5M1Ydi4Sckac1ZrV5StAG5,https://api.govinfo.gov/packages/CHRG-115hhrg31323/mods,https://api.govinfo.gov/packages/CHRG-115hhrg31323/zip,textfiles/CHRG-115hhrg31323.txt
7,CHRG-115hhrg30189,2021-02-22T18:20:39Z,https://api.govinfo.gov/packages/CHRG-115hhrg30189/summary,HHRG,On the Line: Border Security from an Agent and Officer Perspective,115,2018-01-09T12:00:00Z,https://api.govinfo.gov/packages/CHRG-115hhrg30189/summary?api_key=mHFrk52tb3tnJpM4Vn5M1Ydi4Sckac1ZrV5StAG5,https://api.govinfo.gov/packages/CHRG-115hhrg30189/mods,https://api.govinfo.gov/packages/CHRG-115hhrg30189/zip,textfiles/CHRG-115hhrg30189.txt
8,CHRG-115hhrg29537,2021-02-22T18:16:07Z,https://api.govinfo.gov/packages/CHRG-115hhrg29537/summary,HHRG,"Doe Modernization: Advancing Doe's Mission for National, Economic, and Energy Security of the United States",115,2018-01-09T12:00:00Z,https://api.govinfo.gov/packages/CHRG-115hhrg29537/summary?api_key=mHFrk52tb3tnJpM4Vn5M1Ydi4Sckac1ZrV5StAG5,https://api.govinfo.gov/packages/CHRG-115hhrg29537/mods,https://api.govinfo.gov/packages/CHRG-115hhrg29537/zip,textfiles/CHRG-115hhrg29537.txt
9,CHRG-115hhrg28966,2021-02-22T18:10:25Z,https://api.govinfo.gov/packages/CHRG-115hhrg28966/summary,HHRG,[H.A.S.C. No. 115-63] - China's Pursuit of Emerging and Exponential Technologies,115,2018-01-09T12:00:00Z,https://api.govinfo.gov/packages/CHRG-115hhrg28966/summary?api_key=mHFrk52tb3tnJpM4Vn5M1Ydi4Sckac1ZrV5StAG5,https://api.govinfo.gov/packages/CHRG-115hhrg28966/mods,https://api.govinfo.gov/packages/CHRG-115hhrg28966/zip,textfiles/CHRG-115hhrg28966.txt
